mot_cle,langue,intention,service,pays,corridor,importance,difficulte_estimee,page_cible,priorite
transport semi-remorque Maroc,FR,Commerciale service,semi-remorque,Maroc,National/international,Élevée,Faible,/transport-semi-remorque-maroc.html,P1
transport FTL Maroc,FR/EN,Commerciale service,FTL,Maroc,National/international,Élevée,Faible,/transport-ftl-maroc.html,P1
transport LTL Maroc,FR/EN,Commerciale service,LTL,Maroc,National/international,Élevée,Faible,/transport-ltl-maroc.html,P1
groupage Maroc Europe,FR,Commerciale service+corridor,groupage,"Maroc, Europe",Maroc-Europe,Très élevée,Faible à moyenne,/groupage-maroc-europe.html,P0
groupage Maroc France,FR,Commerciale service+corridor,groupage,"Maroc, France",Maroc-France,Très élevée,Faible,/groupage-maroc-france.html,P0 existante
transport palettes Maroc Europe,FR,Commerciale service+corridor,palettes,"Maroc, Europe",Maroc-Europe,Élevée,Faible,/transport-palettes-maroc-europe.html,P1
transport import export Maroc,FR,Commerciale,import-export,Maroc,International,Élevée,Moyenne,/transport-import-export-maroc.html,P1
logistique Maroc Europe,FR,Commerciale,logistique,"Maroc, Europe",Maroc-Europe,Élevée,Moyenne,/logistique-maroc-europe.html,P1
logistique Maroc Afrique,FR,Commerciale,logistique,"Maroc, Afrique",Maroc-Afrique,Moyenne,Faible à moyenne,/logistique-maroc-afrique.html,P2
devis transport international Maroc,FR,Transactionnelle,devis transport,Maroc,International,Très élevée,Faible à moyenne,/devis-transport-international-maroc.html,P0
transport Maroc France,FR,Commerciale corridor,transport routier,"Maroc, France",Maroc-France,Très élevée,Moyenne,/transport-maroc-france.html,P0 existante
transport France Maroc,FR,Commerciale corridor,transport routier,"France, Maroc",France-Maroc,Très élevée,Moyenne,/transport-france-maroc.html,P0 existante
transport Maroc Espagne,FR,Commerciale corridor,transport routier,"Maroc, Espagne",Maroc-Espagne,Très élevée,Moyenne,/transport-maroc-espagne.html,P0 existante
transport Espagne Maroc,FR,Commerciale corridor,transport routier,"Espagne, Maroc",Espagne-Maroc,Très élevée,Moyenne,/transport-espagne-maroc.html,P0 existante
transport agrumes Maroc Europe,FR,Commerciale sectorielle,agroalimentaire frigorifique,"Maroc, Europe",Maroc-Europe,Élevée,Faible,/transport-agrumes-maroc-europe.html,P1
transport fruits et légumes Maroc Europe,FR,Commerciale sectorielle,agroalimentaire frigorifique,"Maroc, Europe",Maroc-Europe,Élevée,Faible,/transport-fruits-legumes-maroc-europe.html,P1
transport Casablanca Paris,FR,Locale/corridor,ville à ville,"Maroc, France",Casablanca-Paris,Moyenne,Faible,/transport-casablanca-paris.html,P2
transport Tanger Madrid,FR,Locale/corridor,ville à ville,"Maroc, Espagne",Tanger-Madrid,Moyenne,Faible,/transport-tanger-madrid.html,P2
